timestamp,speed_mps,accel_x,accel_y,accel_z,steering_angle,radar_distance_m,latitude,longitude
0,29.9346,0.116517,-0.140301,9.72786,1.6966,80.2986,42.3315,-83.0457
0.1,30.2813,0.205881,-0.124938,9.71821,1.91993,80.5884,42.3316,-83.0456
0.2,30.1896,0.190817,-0.0761757,9.87255,1.84297,79.9745,42.3317,-83.0455
0.3,29.8199,0.236674,-0.130697,9.74298,2.20309,79.915,42.3318,-83.0454
0.4,29.8083,0.158229,-0.086845,9.77663,2.43854,80.9133,42.3319,-83.0453
0.5,29.7498,0.136122,-0.0792306,9.76317,1.97349,80.8071,42.3319,-83.0452
0.6,30.0573,0.258214,-0.0908368,9.70754,2.12832,79.3071,42.3321,-83.0451
0.7,29.9952,0.286041,-0.102638,9.72761,1.65455,80.7869,42.3322,-83.045
0.8,30.2876,0.246202,-0.0806986,9.77682,1.89528,79.3209,42.3323,-83.0449
0.9,30.1022,0.246764,-0.100795,9.79183,1.57004,79.9745,42.3324,-83.0448
1,29.8089,0.118659,-0.110509,9.86518,2.18526,80.3421,42.3325,-83.0447
1.1,29.9132,0.282134,-0.128854,9.84296,2.06914,80.3373,42.3326,-83.0446
1.2,29.765,0.238084,-0.0833628,9.74744,2.03197,80.231,42.3327,-83.0445
1.3,30.242,0.284527,-0.084727,9.82477,1.65131,80.9408,42.3328,-83.0444
1.4,30.2086,0.257964,-0.138882,9.81759,2.18206,80.5702,42.3329,-83.0443
1.5,29.9491,0.299811,-0.0966201,9.8627,2.09157,79.1976,42.333,-83.0442
1.6,30.1765,0.247807,-0.14071,9.81374,2.21996,79.9154,42.3331,-83.0441
1.7,30.2162,0.252391,-0.110494,9.7888,1.56516,80.1186,42.3332,-83.044
1.8,30.1644,0.218143,-0.064011,9.74313,1.69312,79.0445,42.3333,-83.0439
1.9,29.8217,0.270177,-0.0775948,9.86677,1.77287,79.5617,42.3334,-83.0438
2,29.8019,0.245524,-0.0829844,9.80719,2.23681,80.2086,42.3335,-83.0437
2.1,30.0155,0.209586,-0.14194,9.71696,2.06578,79.4829,42.3336,-83.0436
2.2,29.7279,0.197507,-0.0583377,9.72643,1.69919,80.3809,42.3337,-83.0435
2.3,29.7937,0.180575,-0.12781,9.84136,1.57035,79.1858,42.3338,-83.0434
2.4,29.8649,0.257665,-0.124816,9.86555,2.26638,80.5076,42.3339,-83.0433
2.5,30.1744,0.271599,-0.127276,9.74857,2.3135,80.5715,42.334,-83.0432
2.6,30.0947,0.250584,-0.0786721,9.75836,1.58725,80.7575,42.3341,-83.0431
2.7,30.0716,0.274621,-0.087669,9.87888,2.34753,79.3889,42.3342,-83.043
2.8,29.7328,0.166878,-0.0651982,9.83282,1.89872,79.7719,42.3343,-83.0429
2.9,29.9712,0.210141,-0.0991012,9.72918,1.87504,80.4844,42.3344,-83.0428
3,30.0039,0.288177,-0.0662023,9.73602,2.1505,79.9149,42.3345,-83.0427
3.1,30.2054,0.252165,-0.0819529,9.77803,2.37414,79.0521,42.3346,-83.0426
3.2,29.9166,0.112098,-0.0875134,9.85923,2.13021,80.5234,42.3347,-83.0425
3.3,29.828,0.253203,-0.0743812,9.81061,1.72324,79.8841,42.3348,-83.0424
3.4,29.9385,0.277319,-0.146487,9.8628,1.58835,79.1566,42.3349,-83.0423
3.5,30.2891,0.269304,-0.119814,9.84374,2.32626,80.6196,42.335,-83.0422
3.6,30.2712,0.288488,-0.0595035,9.80128,2.3634,80.8467,42.3351,-83.0421
3.7,30.1105,0.285015,-0.0544588,9.8509,2.23733,80.9958,42.3352,-83.042
3.8,29.7252,0.241295,-0.129464,9.84831,1.50656,79.3482,42.3353,-83.0419
3.9,29.7602,0.138398,-0.094789,9.88718,2.2861,80.0975,42.3354,-83.0418
4,29.9952,0.147444,-0.133294,9.82171,2.40716,80.3887,42.3355,-83.0417
4.1,29.9282,0.246043,-0.125054,9.81435,2.20263,79.6071,42.3356,-83.0416
4.2,29.7345,0.259661,-0.109444,9.70842,1.91713,80.918,42.3357,-83.0415
4.3,29.8003,0.128047,-0.0847758,9.8258,1.74226,79.0547,42.3358,-83.0414
