timestamp,speed_mps,accel_x,accel_y,accel_z,steering_angle,radar_distance_m,latitude,longitude
0,20.1709,0.290783,-0.0643925,9.72991,1.58499,40.766,42.3331,-83.0444
0.1,20.0184,0.156899,-0.13048,9.7068,1.54248,39.4576,42.3332,-83.0443
0.2,19.8709,0.131416,-0.066776,9.77558,1.68723,39.8825,42.3333,-83.0442
0.3,20.1168,0.151753,-0.06807,9.83702,1.52716,40.8758,42.3333,-83.0441
0.4,19.8387,0.186001,-0.0626896,9.71808,1.80226,39.1303,42.3334,-83.044
0.5,20.0973,0.149367,-0.0870952,9.8196,1.76972,39.4856,42.3335,-83.0439
0.6,19.7895,0.245537,-0.0980056,9.78889,2.11419,39.4672,42.3336,-83.0438
0.7,20.2827,0.133119,-0.121999,9.81747,2.4827,40.0752,42.3337,-83.0437
0.8,20.2227,0.117029,-0.142624,9.76364,1.64499,40.8237,42.3338,-83.0436
0.9,19.7175,0.164907,-0.124999,9.70019,2.27877,39.0298,42.3339,-83.0435
1,20.0963,0.148512,-0.0779489,9.88707,2.37963,39.3529,42.334,-83.0434
1.1,19.8424,0.110138,-0.0535859,9.76897,2.29629,39.5829,42.3341,-83.0433
1.2,19.9026,0.154024,-0.084434,9.79807,2.39084,40.6805,42.3342,-83.0432
1.3,19.7699,0.162746,-0.0580325,9.88165,2.32379,39.0652,42.3343,-83.0431
1.4,19.9428,0.13863,-0.129043,9.85471,1.96428,39.1552,42.3344,-83.043
1.5,19.9586,0.170168,-0.0688696,9.7777,1.92524,40.1555,42.3345,-83.0429
1.6,19.802,0.223411,-0.0527589,9.85914,1.72355,39.0979,42.3346,-83.0428
1.7,19.8889,0.15837,-0.0844127,9.80326,1.56513,40.1297,42.3347,-83.0427
1.8,20.2246,0.170443,-0.0580966,9.78269,1.75513,40.0525,42.3348,-83.0426
1.9,19.9376,0.256816,-0.0582461,9.8361,1.73313,40.1117,42.3349,-83.0425
2,20.1884,0.107837,-0.0965896,9.89083,1.73331,40.0352,42.335,-83.0424
2.1,20.2529,0.223496,-0.0867351,9.81061,2.06951,40.323,42.3351,-83.0423
2.2,19.9808,0.254735,-0.056296,9.86814,2.0454,40.7853,42.3352,-83.0422
2.3,20.2296,0.169918,-0.0965041,9.84283,2.48975,39.3327,42.3353,-83.0421
2.4,20.0728,0.246245,-0.149304,9.74338,1.91643,39.0145,42.3354,-83.042
2.5,19.7839,0.286108,-0.131964,9.75547,2.30978,39.3078,42.3355,-83.0419
2.6,19.9945,0.258538,-0.099208,9.81443,1.53449,39.6571,42.3356,-83.0418
2.7,20.0285,0.165596,-0.142795,9.80285,2.371,39.2626,42.3357,-83.0417
2.8,20.21,0.133778,-0.128643,9.77329,2.1755,39.1201,42.3358,-83.0416
2.9,19.7476,0.130433,-0.0714454,9.79592,2.16512,40.3094,42.3359,-83.0416
3,44.7924,0.105152,-0.146762,9.83116,2.32818,40.5334,42.336,-83.0415
3.1,20.2719,0.156191,-0.140646,9.82732,1.95924,40.9078,42.3361,-83.0413
3.2,20.0986,0.121863,-0.13674,9.84331,1.81928,40.9993,42.3362,-83.0412
3.3,20.1536,0.196951,-0.140896,9.79627,1.92091,40.1152,42.3363,-83.0412
3.4,20.0448,0.174123,-0.143277,9.8342,1.9384,40.8426,42.3364,-83.0411
3.5,20.0412,0.110315,-0.117965,9.73367,2.243,40.8368,42.3365,-83.041
3.6,19.781,0.218168,-0.0600864,9.72242,1.56296,40.8611,42.3366,-83.0409
3.7,19.7551,0.182394,-0.0604038,9.72705,2.26882,39.0753,42.3367,-83.0408
3.8,20.1661,0.101233,-0.117431,9.84569,2.28338,39.5752,42.3368,-83.0407
3.9,20.1617,0.252818,-0.0870342,9.8456,1.61704,39.1812,42.3369,-83.0406
4,19.8431,0.286602,-0.0695654,9.88588,1.52786,40.4779,42.337,-83.0405
4.1,20.2491,0.239738,-0.134448,9.86511,2.30676,39.1025,42.3371,-83.0404
4.2,20.1141,0.17853,-0.0822886,9.79398,1.68757,39.2846,42.3372,-83.0403
4.3,20.2021,0.264806,-0.14451,9.79302,1.8824,39.6348,42.3373,-83.0402
4.4,20.215,0.247331,-0.120418,9.71516,2.24154,39.1838,42.3374,-83.0401
4.5,20.2765,0.178207,-0.0518586,9.79345,1.53882,39.6717,42.3375,-83.04
4.6,19.7906,0.154299,-0.135293,9.7137,1.88169,40.0865,42.3376,-83.0399
4.7,20.2751,0.28363,-0.0714118,9.71213,2.24633,39.454,42.3377,-83.0398
4.8,20.17,0.276775,-0.0522706,9.89804,1.63782,39.8762,42.3378,-83.0397
4.9,20.2217,0.26328,-0.0858592,9.80143,1.87547,39.8205,42.3379,-83.0396
5,20.2411,0.233085,-0.058243,9.74572,2.0027,39.6591,42.338,-83.0395
5.1,19.8371,0.102887,-0.133163,9.84536,2.32235,39.4575,42.3381,-83.0394
5.2,20.1256,0.207596,-0.0891247,9.82848,2.05684,39.0142,42.3382,-83.0393
5.3,19.8131,0.216691,-0.0940474,9.88458,1.63334,40.1491,42.3383,-83.0392
5.4,20.0546,0.275677,-0.117339,9.73715,1.59378,39.2431,42.3385,-83.0391
5.5,20.0883,0.172445,-0.0795267,9.74138,2.13027,40.0268,42.3386,-83.039
5.6,19.8429,0.128712,-0.139352,9.80674,2.24493,40.62,42.3386,-83.0389
5.7,19.9226,0.216416,-0.118383,9.7447,1.53531,40.8201,42.3387,-83.0388
5.8,20.1643,0.199112,-0.0631352,9.84137,1.60446,39.6417,42.3388,-83.0388
5.9,19.7725,0.198398,-0.144668,9.85513,2.09609,39.1057,42.3389,-83.0386
6,20.2267,0.185293,-0.0956984,9.83932,2.35464,40.2779,42.339,-83.0386
6.1,20.1659,0.296686,-0.0852123,9.78987,1.71055,39.5584,42.3391,-83.0385
6.2,20.2469,0.176693,-0.130569,9.71799,2.39044,39.2207,42.3393,-83.0383
6.3,19.9774,0.143098,-0.147116,9.74779,2.05208,40.2005,42.3394,-83.0382
6.4,19.7255,0.17875,-0.135293,9.83895,1.94481,39.135,42.3395,-83.0381
6.5,20.1028,0.147969,-0.105251,9.73438,1.69443,39.6519,42.3396,-83.038
6.6,19.9226,0.23795,-0.138949,9.73289,1.7136,39.9084,42.3397,-83.0379
6.7,19.9344,0.225156,-0.0897717,9.8868,2.23681,40.3802,42.3398,-83.0378
6.8,19.7318,0.166756,-0.119634,9.82464,1.98057,39.9008,42.3399,-83.0377
6.9,19.8363,0.117005,-0.0735939,9.79879,2.42868,39.9505,42.34,-83.0376
7,0.455898,0.268676,-0.091966,9.75817,1.74226,39.1952,42.3401,-83.0375
7.1,20.0187,0.119416,-0.0599185,9.84582,2.29501,40.2759,42.3402,-83.0374
